id,manufacturer,dtc,description
321,buick,P1676,Driver 4 Line 6
322,buick,P1677,Driver 4 Line 7
323,buick,P1680,Driver 5
324,buick,P1681,Driver 5 Line 1
325,buick,P1682,Driver 5 Line 2
326,buick,P1683,Driver 5 Line 3
327,buick,P1684,Driver 5 Line 4
328,buick,P1685,Driver 5 Line 5
329,buick,P1686,Driver 5 Line 6
330,buick,P1687,Driver 5 Line 7
331,buick,P1689,Delivered Torque Circuit Fault
332,buick,P1690,ECM Loop Overrun
333,buick,P1691,Coolant Gage Circuit Low Voltage
334,buick,P1692,Coolant Gage Circuit High Voltage
335,buick,P1693,Tachometer Circuit Low Voltage
336,buick,P1694,Tachometer Circuit High Voltage
337,buick,P1695,Remote Keyless Entry Circuit Low
338,buick,P1696,Remote Keyless Entry Voltage High
339,buick,P1700,Transmission Control Module (TCM) Requested MILIllumination
340,buick,P1701,Trans. MIL Request Circuit
341,buick,P1705,P/N Signal Output Circuit
342,buick,P1740,Torque Reduction Signal Circuit
343,buick,P1743,TP Signal from ECM
344,buick,P1760,TCM Supply Voltage Interrupted
345,buick,P1779,Engine Torque Delivered to TCM Signal
346,buick,P1780,Park/Neutral Position [PNP] Switch Circuit
347,buick,P1781,Engine Torque Signal Circuit
348,buick,P1790,Transmission Control Module Checksum
349,buick,P1791,Transmission Control Module Loop
350,buick,P1793,Transmission Control Module Stack Overrun
351,buick,P1795,CAN Bus - Throttle Body Position
352,buick,P1800,TCM Power Relay Control Circuit
353,buick,P1801,Performance Selector Switch Failure
354,buick,P1804,Ground Control Relay
355,buick,P1810,TFP Valve Position Switch Circuit
356,buick,P1811,Maximum Adapt and Long Shift
357,buick,P1812,Transmission Over Temperature Condition
358,buick,P1813,Torque Control
359,buick,P1814,Torque Converter Overstressed
360,buick,P1815,Transmission Range Switch - Start In Wrong Range
361,buick,P1816,TFP Valve Position Sw. - Park/Neu. With Drive Ratio
362,buick,P1817,TFP Valve Position Sw. - Reverse With Drive Ratio
363,buick,P1818,TFP Valve Position Sw. - Drive Without Drive Ratio
364,buick,P1819,Internal Mode Switch - No Start/Wrong Range
365,buick,P1820,Internal Mode Switch Circuit A Low
366,buick,P1822,Internal Mode Switch Circuit B High
367,buick,P1823,Internal Mode Switch Circuit P Low
368,buick,P1825,Internal Mode Switch - Invalid Range
369,buick,P1826,Internal Mode Switch Circuit C - High
370,buick,P1831,PC Solenoid Power Circuit - Low Voltage
371,buick,P1833,A/T Solenoids Power Circuit - Low Voltage
372,buick,P1835,Kick-Down Switch Circuit
373,buick,P1836,Kick-Down Switch Failed Open
374,buick,P1837,Kick-Down Switch Failed Short
375,buick,P1842,1-2 Shift Solenoid Circuit Low Voltage
376,buick,P1843,1-2 Shift Solenoid Circuit High Voltage
377,buick,P1844,Torque Reduction Signal Circuit Desired By TCM
378,buick,P1845,2-3 Shift Solenoid Circuit Low Voltage
379,buick,P1847,2-3 Shift Solenoid Circuit High Voltage
380,buick,P1850,Brake Band Apply Solenoid Circuit
381,buick,P1851,Brake Band Apply Solenoid Performance
382,buick,P1852,Brake Band Apply SolenoidLow Voltage
383,buick,P1853,Brake Band Apply Solenoid High Voltage
384,buick,P1860,TCC PWM Solenoid Circuit Electrical
385,buick,P1864,Torque Converter Clutch Circuit
386,buick,P1868,Transmission Fluid Life
387,buick,P1870,Transmission Component Slipping
388,buick,P1871,Undefined Gear Ratio
389,buick,P1873,TCC Stator Temp. Switch Circuit Low
390,buick,P1874,TCC Stator Temp. Switch Circuit High
391,buick,P1875,4WD Low Switch Circuit Electrical
392,buick,P1884,TCC Enable/Shift Light Circuit
393,buick,P1886,Shift Timing Solenoid
394,buick,P1887,TCC Release Switch Circuit
395,buick,P1891,Throttle Position Sensor PWM Signal Low
396,buick,P1892,Throttle Position Sensor PWM Signal High
397,buick,P1893,Engine Torque Signal Low Voltage
398,buick,P1894,Engine Torque Signal High Voltage
399,buick,P1895,TCM to ECM Torque Reduction Circuit
400,cadillac,P1031,HO2S Heater Current Monitor Control Circuit Banks 1 and 2 Sensor 1
401,cadillac,P1032,HO2S Heater Warm Up Control Circuit Banks 1 and 2 Sensor 1
402,cadillac,P1105,Secondary Vacuum Sensor Circuit
403,cadillac,P1106,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent High Voltage
404,cadillac,P1107,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent Low Voltage
405,cadillac,P1108,BARO to MAP Sensor Comparison Too High
406,cadillac,P1109,Secondary Port Throttle System
407,cadillac,P1111,Intake Air Temperature (IAT) Sensor Circuit Intermittent High Voltage
408,cadillac,P1112,Intake Air Temperature (IAT) Sensor Circuit IntermittentLow Voltage
409,cadillac,P1113,Intake Resonance Switchover Solenoid Control Circuit
410,cadillac,P1114,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent Low Voltage
411,cadillac,P1115,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent High Voltage
412,cadillac,P1116,ECT Signal Unstable or Intermittent
413,cadillac,P1117,Engine Coolant Temp. Signal Out-Of-Range Low
414,cadillac,P1118,Engine Coolant Temp. Signal Out-Of-Range High
415,cadillac,P1119,ECT Signal Out-Of-Range With TFT Sensor
416,cadillac,P1120,Throttle Position (TP) Sensor 1 Circuit
417,cadillac,P1121,Throttle Position (TP) Sensor Circuit Intermittent HighVoltage
418,cadillac,P1122,Throttle Position (TP) Sensor Circuit Intermittent LowVoltage
419,cadillac,P1125,APP System
420,cadillac,P1130,HO2S Circuit Low Variance Bank 1 Sensor 1
421,cadillac,P1131,HO2S Circuit Low Variance Bank 1 Sensor 2
422,cadillac,P1132,HO2S Circuit Low Variance Bank 2 Sensor 1
423,cadillac,P1133,HO2S Insufficient Switching Bank 1 Sensor 1
424,cadillac,P1134,HO2S Transition Time Ratio Bank 1 Sensor 1
425,cadillac,P1135,HO2S Lean Mean Bank 1 Sensor 1
426,cadillac,P1136,HO2S Rich Mean Bank 1 Sensor 1
427,cadillac,P1137,HO2S Bank 1 Sensor 2 Lean System or Low Voltage
428,cadillac,P1138,HO2S Bank 1 Sensor 2 Rich or High Voltage
429,cadillac,P1139,HO2S Insuff. Switching Bank 1 Sensor 2
430,cadillac,P1140,HO2S Transition Time Ratio Bank 1 Sensor 2
431,cadillac,P1141,HO2S Heater Control Circuit Bank 1 Sensor 2
432,cadillac,P1143,HO2S Bank 1 Sensor 3 Lean System or Low Voltage
433,cadillac,P1144,HO2S Bank 1 Sensor 3 Rich or High Voltage
434,cadillac,P1145,HO2S Cross Counts Bank 1 Sensor 3
435,cadillac,P1153,HO2S Insufficient Switching Bank 2 Sensor 1
436,cadillac,P1154,HO2S Transition Time Ratio Bank 2 Sensor 1
437,cadillac,P1155,HO2S Lean Mean Bank 2 Sensor 1
438,cadillac,P1156,HO2S Rich Mean Bank 2 Sensor 1
439,cadillac,P1157,HO2S Bank 2 Sensor 2 Lean System or Low Voltage
440,cadillac,P1158,HO2S Bank 2 Sensor 2 Rich or High Voltage
441,cadillac,P1159,HO2S Cross Counts Bank 2 Sensor 2
442,cadillac,P1161,HO2S Heater Control Circuit Bank 2 Sensor 2
443,cadillac,P1163,HO2S Bank 2 Sensor 3 Lean System or Low Voltage
444,cadillac,P1164,HO2S Bank 2 Sensor 3 Rich or High Voltage
445,cadillac,P1165,HO2S Cross Counts Bank 2 Sensor 3
446,cadillac,P1170,Bank to Bank Fuel TrimOffset
447,cadillac,P1171,Fuel System Lean During Acceleration
448,cadillac,P1185,Engine Oil Temperature Circuit
449,cadillac,P1186,EOT Circuit Performance
450,cadillac,P1187,EOT Sensor Ckt. Low Voltage
451,cadillac,P1188,EOT Sensor Ckt. High Voltage
452,cadillac,P1189,Engine Oil Pressure (EOP) Switch Circuit
453,cadillac,P1190,Engine Vacuum Leak
454,cadillac,P1191,Intake Air Duct Air Leak
455,cadillac,P1200,Injector Control Circuit
456,cadillac,P1201,(Alt. Fuel) Gas Mass Sensor Circuit Range/Performance
457,cadillac,P1202,(Alt. Fuel) Gas Mass Sensor Circuit Low Frequency
458,cadillac,P1203,(Alt. Fuel) Gas Mass Sensor Circuit High Frequency
459,cadillac,P1211,Mass Air Flow Circuit Intermittent High
460,cadillac,P1212,Mass Air Flow Circuit Intermittent Low
461,cadillac,P1214,Injection Pump Timing Offset
462,cadillac,P1215,Ground Fault Detection Indicated
463,cadillac,P1216,Fuel Solenoid Response Time Too Short
464,cadillac,P1217,Fuel Solenoid Response Time Too Long
465,cadillac,P1218,Injection Pump Calibration Circuit
466,cadillac,P1219,Throttle Position Sensor Reference Voltage
467,cadillac,P1220,Throttle Position (TP) Sensor 2 Circuit
468,cadillac,P1221,Fuel Pump Secondary Circuit Low
469,cadillac,P1222,Injector Control Circuit Intermittent
470,cadillac,P1225,Injector Circuit Cylinder 2 Intermittent
471,cadillac,P1228,Injector Circuit Cylinder 3 Intermittent
472,cadillac,P1231,Injector Circuit Cylinder 4 Intermittent
473,cadillac,P1234,Injector Circuit Cylinder 5 Intermittent
474,cadillac,P1237,Injector Circuit Cylinder 6 Intermittent
475,cadillac,P1240,Injector Circuit Cylinder 7 Intermittent
476,cadillac,P1243,Injector Circuit Cylinder 8 Intermittent
477,cadillac,P1245,Intake Plenum Switchover Valve
478,cadillac,P1250,Early Fuel Evaporation Heater Circuit
